Time [s],Light,USB,TMP36 [C],TC [C],Batt [V]
22.04,46.84,4.0059,26.27,25.1,4.1476
22.08,46.91,4.0043,26.03,25.1,4.1461
22.13,46.91,3.9805,25.71,25.1,4.1476
22.17,46.84,4.0043,26.03,25.1,4.1445
22.21,46.91,4.0107,26.35,25.1,4.1476
22.26,46.89,4.0043,26.35,25.1,4.1461
22.3,46.81,4.0012,26.11,25.2,4.1492
22.34,46.91,4.0075,26.19,25.1,4.1445
22.38,46.94,4.0107,26.27,25.1,4.1445
22.42,46.94,4.0059,26.19,25.2,4.1461
22.47,46.91,3.998,26.27,25.2,4.1476
22.51,46.91,3.9996,26.03,25.2,4.1476
22.56,46.89,3.9789,26.03,25.2,4.1524
22.6,46.86,3.9996,26.19,25.2,4.1476
22.64,46.96,3.9996,25.95,25.2,4.1476
22.68,46.94,3.998,26.35,25.2,4.1476
22.72,46.91,4.0028,26.11,25.2,4.1508
22.77,46.84,4.0043,26.19,25.2,4.1476
22.81,46.94,3.9996,26.11,25.2,4.1445
22.85,46.91,4.0012,26.27,25.2,4.1476
22.9,46.98,3.9964,26.35,25.2,4.1476
22.94,46.94,3.9805,26.11,25.2,4.1476
22.98,46.96,3.998,26.03,25.2,4.1492
23.02,46.96,3.9996,26.5,25.2,4.1476
23.07,46.96,3.998,26.35,25.2,4.1476
23.11,46.98,4.0075,26.27,25.2,4.1445
23.15,46.89,4.0075,26.35,25.2,4.1429
23.19,46.86,4.0043,26.27,25.2,4.1492
23.23,46.91,4.0043,26.11,25.2,4.1429
23.28,46.91,4.0043,26.27,25.3,4.1429
23.32,46.91,3.9805,26.42,25.3,4.1476
23.37,46.94,4.0043,26.11,25.3,4.1429
23.41,46.91,4.0028,26.35,25.3,4.1461
23.45,46.91,4.0028,26.27,25.3,4.1508
23.49,46.91,4.0043,26.42,25.3,4.1508
23.53,46.89,3.9964,26.42,25.3,4.1492
23.58,46.91,4.0043,26.27,25.3,4.1492
23.62,46.94,3.998,26.35,25.3,4.1508
23.66,46.94,4.0059,26.35,25.3,4.1492
23.71,46.86,3.9757,26.35,25.3,4.1476
23.75,46.94,3.998,26.11,25.3,4.1476
23.79,46.91,3.9996,26.35,25.3,4.1476
23.83,46.84,3.998,26.58,25.3,4.1492
23.88,46.86,4.0059,26.19,25.3,4.1461
23.92,46.84,3.9996,26.42,25.3,4.1476
23.96,46.86,4.0012,26.42,25.3,4.1461
24.0,46.81,3.998,26.35,25.3,4.1476
24.04,46.84,4.0028,26.11,25.4,4.1492
24.09,46.84,3.9805,26.35,25.4,4.1508
24.13,46.81,3.998,26.35,25.4,4.1445
24.18,46.89,4.0059,26.5,25.4,4.1492
24.22,46.86,4.0043,26.5,25.4,4.1461
24.26,46.81,4.0043,26.66,25.4,4.1476
24.3,46.89,4.0028,26.35,25.4,4.1492
24.34,46.86,4.0075,26.58,25.4,4.1492
24.39,46.89,4.0059,26.27,25.4,4.1508
24.43,46.89,4.0075,26.58,25.4,4.1397
24.48,46.89,3.9852,26.42,25.4,4.1476
24.52,46.76,4.0043,26.27,25.4,4.1492
24.56,46.84,4.0075,26.42,25.4,4.1461
24.6,46.89,4.0028,26.35,25.4,4.1508
24.64,46.81,3.9996,26.5,25.4,4.1461
24.69,46.81,4.0059,26.42,25.4,4.1461
24.73,46.89,4.0012,26.42,25.4,4.1445
24.77,46.89,3.9996,26.58,25.4,4.1476
24.81,46.84,3.9996,26.42,25.4,4.1445
24.86,46.84,3.9805,26.27,25.4,4.1461
24.9,46.89,3.9948,26.5,25.4,4.1461
24.94,46.86,4.0043,26.27,25.4,4.1492
24.98,46.79,3.9996,26.35,25.4,4.1461
25.03,46.84,4.0028,26.58,25.4,4.1445
25.07,46.79,3.998,26.5,25.4,4.1461
25.13,46.79,3.9805,26.03,25.4,4.1476
25.17,46.81,3.9773,26.5,25.4,4.1476
25.22,46.79,3.9789,26.58,25.4,4.1429
25.26,46.79,3.9821,26.42,25.4,4.1476
25.31,46.89,3.9773,26.42,25.4,4.1508
25.35,46.84,4.0043,26.5,25.4,4.1461
25.39,46.81,4.0075,26.66,25.4,4.1476
25.43,46.84,4.0075,26.42,25.4,4.1476
25.47,46.79,4.0043,26.19,25.4,4.1508
25.52,46.86,4.0012,26.35,25.4,4.1476
25.56,46.79,4.0028,26.35,25.4,4.1476
25.6,46.91,4.0028,26.35,25.4,4.1476
25.65,46.84,3.998,26.35,25.4,4.1445
25.69,46.79,3.9757,26.35,25.4,4.1524
25.73,46.72,4.0028,26.42,25.4,4.1508
25.78,46.67,3.998,26.74,25.4,4.1492
25.82,46.59,4.0012,26.5,25.4,4.1508
25.86,46.62,3.9996,26.5,25.4,4.1461
25.9,46.57,4.0075,26.58,25.4,4.1461
25.94,46.4,4.0043,26.58,25.4,4.1476
25.99,46.25,3.998,26.42,25.4,4.1476
26.03,46.15,4.0012,26.42,25.4,4.1445
26.08,46.3,3.9836,26.35,25.4,4.1492
26.12,46.47,4.0059,26.66,25.4,4.1492
26.16,46.86,4.0075,26.66,25.4,4.1476
26.2,47.08,4.0091,26.58,25.4,4.1476
