,Time [s],Light,USB,TMP36 [C],TC [C],Batt [V]
392,22.34,46.91,4.0075,26.19,25.1,4.1445
393,22.38,46.94,4.0107,26.27,25.1,4.1445
394,22.42,46.94,4.0059,26.19,25.2,4.1461
395,22.47,46.91,3.998,26.27,25.2,4.1476
396,22.51,46.91,3.9996,26.03,25.2,4.1476
397,22.56,46.89,3.9789,26.03,25.2,4.1524
398,22.6,46.86,3.9996,26.19,25.2,4.1476
399,22.64,46.96,3.9996,25.95,25.2,4.1476
400,22.68,46.94,3.998,26.35,25.2,4.1476
401,22.72,46.91,4.0028,26.11,25.2,4.1508
402,22.77,46.84,4.0043,26.19,25.2,4.1476
403,22.81,46.94,3.9996,26.11,25.2,4.1445
404,22.85,46.91,4.0012,26.27,25.2,4.1476
405,22.9,46.98,3.9964,26.35,25.2,4.1476
406,22.94,46.94,3.9805,26.11,25.2,4.1476
407,22.98,46.96,3.998,26.03,25.2,4.1492
408,23.02,46.96,3.9996,26.5,25.2,4.1476
409,23.07,46.96,3.998,26.35,25.2,4.1476
410,23.11,46.98,4.0075,26.27,25.2,4.1445
411,23.15,46.89,4.0075,26.35,25.2,4.1429
412,23.19,46.86,4.0043,26.27,25.2,4.1492
413,23.23,46.91,4.0043,26.11,25.2,4.1429
414,23.28,46.91,4.0043,26.27,25.3,4.1429
415,23.32,46.91,3.9805,26.42,25.3,4.1476
416,23.37,46.94,4.0043,26.11,25.3,4.1429
417,23.41,46.91,4.0028,26.35,25.3,4.1461
418,23.45,46.91,4.0028,26.27,25.3,4.1508
419,23.49,46.91,4.0043,26.42,25.3,4.1508
420,23.53,46.89,3.9964,26.42,25.3,4.1492
421,23.58,46.91,4.0043,26.27,25.3,4.1492
422,23.62,46.94,3.998,26.35,25.3,4.1508
423,23.66,46.94,4.0059,26.35,25.3,4.1492
424,23.71,46.86,3.9757,26.35,25.3,4.1476
425,23.75,46.94,3.998,26.11,25.3,4.1476
426,23.79,46.91,3.9996,26.35,25.3,4.1476
427,23.83,46.84,3.998,26.58,25.3,4.1492
428,23.88,46.86,4.0059,26.19,25.3,4.1461
429,23.92,46.84,3.9996,26.42,25.3,4.1476
430,23.96,46.86,4.0012,26.42,25.3,4.1461
431,24.0,46.81,3.998,26.35,25.3,4.1476
432,24.04,46.84,4.0028,26.11,25.4,4.1492
433,24.09,46.84,3.9805,26.35,25.4,4.1508
434,24.13,46.81,3.998,26.35,25.4,4.1445
435,24.18,46.89,4.0059,26.5,25.4,4.1492
436,24.22,46.86,4.0043,26.5,25.4,4.1461
437,24.26,46.81,4.0043,26.66,25.4,4.1476
438,24.3,46.89,4.0028,26.35,25.4,4.1492
439,24.34,46.86,4.0075,26.58,25.4,4.1492
440,24.39,46.89,4.0059,26.27,25.4,4.1508
441,24.43,46.89,4.0075,26.58,25.4,4.1397
442,24.48,46.89,3.9852,26.42,25.4,4.1476
443,24.52,46.76,4.0043,26.27,25.4,4.1492
444,24.56,46.84,4.0075,26.42,25.4,4.1461
445,24.6,46.89,4.0028,26.35,25.4,4.1508
446,24.64,46.81,3.9996,26.5,25.4,4.1461
447,24.69,46.81,4.0059,26.42,25.4,4.1461
448,24.73,46.89,4.0012,26.42,25.4,4.1445
449,24.77,46.89,3.9996,26.58,25.4,4.1476
450,24.81,46.84,3.9996,26.42,25.4,4.1445
451,24.86,46.84,3.9805,26.27,25.4,4.1461
452,24.9,46.89,3.9948,26.5,25.4,4.1461
453,24.94,46.86,4.0043,26.27,25.4,4.1492
454,24.98,46.79,3.9996,26.35,25.4,4.1461
455,25.03,46.84,4.0028,26.58,25.4,4.1445
456,25.07,46.79,3.998,26.5,25.4,4.1461
457,25.13,46.79,3.9805,26.03,25.4,4.1476
458,25.17,46.81,3.9773,26.5,25.4,4.1476
459,25.22,46.79,3.9789,26.58,25.4,4.1429
460,25.26,46.79,3.9821,26.42,25.4,4.1476
461,25.31,46.89,3.9773,26.42,25.4,4.1508
462,25.35,46.84,4.0043,26.5,25.4,4.1461
463,25.39,46.81,4.0075,26.66,25.4,4.1476
464,25.43,46.84,4.0075,26.42,25.4,4.1476
465,25.47,46.79,4.0043,26.19,25.4,4.1508
466,25.52,46.86,4.0012,26.35,25.4,4.1476
467,25.56,46.79,4.0028,26.35,25.4,4.1476
468,25.6,46.91,4.0028,26.35,25.4,4.1476
469,25.65,46.84,3.998,26.35,25.4,4.1445
470,25.69,46.79,3.9757,26.35,25.4,4.1524
471,25.73,46.72,4.0028,26.42,25.4,4.1508
472,25.78,46.67,3.998,26.74,25.4,4.1492
473,25.82,46.59,4.0012,26.5,25.4,4.1508
474,25.86,46.62,3.9996,26.5,25.4,4.1461
475,25.9,46.57,4.0075,26.58,25.4,4.1461
476,25.94,46.4,4.0043,26.58,25.4,4.1476
477,25.99,46.25,3.998,26.42,25.4,4.1476
478,26.03,46.15,4.0012,26.42,25.4,4.1445
479,26.08,46.3,3.9836,26.35,25.4,4.1492
480,26.12,46.47,4.0059,26.66,25.4,4.1492
481,26.16,46.86,4.0075,26.66,25.4,4.1476
482,26.2,47.08,4.0091,26.58,25.4,4.1476
483,26.24,47.2,4.0028,26.5,25.4,4.1524
484,26.29,47.47,4.0043,26.66,25.4,4.1461
485,26.33,47.64,4.0075,26.5,25.4,4.1524
486,26.37,47.96,3.998,26.5,25.4,4.1461
487,26.41,48.38,4.0043,26.42,25.4,4.1461
488,26.46,48.6,3.9821,26.58,25.4,4.1492
489,26.5,48.77,4.0091,26.58,25.4,4.1445
490,26.54,48.79,4.0012,26.66,25.4,4.1429
491,26.59,48.89,4.0012,26.82,25.4,4.1492
492,26.63,48.86,4.0012,26.58,25.4,4.1429
493,26.67,48.82,4.0012,26.66,25.4,4.1429
